"Time","ASMR","Airport CEO","Alien: Isolation","Clash Royale","Dale & Dawson Stationery Supplies","Dead End Exit 8","Dead by Daylight","Dofus","ELDEN RING","FTL: Faster Than Light","Five Nights at Freddy's","Fortnite","Genshin Impact","Golf It!","Grand Theft Auto V","Harry Potter and the Sorcerer's Stone","Haunted Castle","Hearthstone","Hollow Knight","I'm Only Sleeping","IRL","Just Chatting","League of Legends","Maitre des Fleurs","Minecraft","NBA 2K25","Offline","Online","Outlast","Platform 8","Pokémon FireRed/LeafGreen","Pokémon GO","Pokémon HeartGold/SoulSilver","Pokémon Scarlet/Violet","PowerWash Simulator","Rocket League","Selaco","Special Agent","Special Events","Star Citizen","Street Fighter 6","Super Smash Bros. Ultimate","TEKKEN 8","Talk Shows & Podcasts","Teamfight Tactics","That's Not My Neighbor","The Legend of Zelda: Ocarina of Time","The Legend of Zelda: The Wind Waker","The Mortuary Assistant","Trackmania","VALORANT","Voices of the Void","Warhammer 40","World of Warcraft","World of Warships"
2024-09-07 01:00:00,810,,,,,,,,,,,,,,,1354,,,,,,,,,,,0,,929,,,455,845,,,,,,248354,223,138,,,,336,,,,,,0,,,678,
2024-09-07 01:05:00,745,,,,,,,,,,,,,,,1199,,,,,,117,,,,,0,,942,,,387,834,,,,,,243882,235,125,,,,336,,,,,,540,,,663,
2024-09-07 01:10:00,764,,,,,,,,,,,,,,,1272,,,,,,105,,,,,0,,902,,,404,797,,,,,,236116,238,,,,,,,,,,,413,,,630,
2024-09-07 01:15:00,796,,,,,,,,,,,,,,,1170,,,,,,131,,,,,0,,851,,,448,809,,,,,,234938,238,,,,,,,,,,,537,,,596,
2024-09-07 01:20:00,611,,,,,,,,,,,,,,,1321,,,,,,216,,,,,0,,793,,,380,793,,,,,,227843,235,,,,,,,,,,,429,,,618,
2024-09-07 01:25:00,790,,,,,,,,,,,,,,,1098,,,,,,249,,,,,0,,863,,,332,778,,,,,,225181,226,,,,,,,,,,,448,,,659,
2024-09-07 01:30:00,756,,,,,,,,,,,,,,,1072,,,,,,185,,,,,0,,702,,,375,778,,,,,,220150,235,,,,,,,,,,,482,,,1005,
2024-09-07 01:35:00,460,,,,,,,,,,,,,,,1072,,,,,,185,,,,,0,,742,,,333,767,,,,,,218117,230,,,,,,,,,,,,,,1002,
2024-09-07 01:40:00,,,,,,,,,,,,,,,,971,,,,,,1201,,,,,0,,679,,,342,736,,,,,,212532,222,,,,,,,,,,,,,,1041,
2024-09-07 01:45:00,,,,,,,,,,,,,,,,,,,,,,1013,,,,,0,,679,,,377,711,,,,,,208318,222,,,,,,,,,,,,,,997,
2024-09-07 01:50:00,,,,,,,,,,,,,,,,,,,,,,981,,,,,0,,671,,,292,696,,,,,,205343,209,,,,,,,,,,,,,,958,
